episode,time_start,time_end,timesteps_in_episode,mu_M_start,mu_M_end,mu_F_start,mu_F_end,delta_mu_M,delta_mu_F,rho_episode,R_M,R_F,R_total,wealth_gap,loans_M_episode,loans_F_episode,applications_M_episode,applications_F_episode,defaults_M_episode,defaults_F_episode,profit_episode,approval_rate_M_episode,approval_rate_F_episode,success_prob_M_episode,success_prob_F_episode,total_loans_M,total_loans_F,total_applications_M,total_applications_F,total_defaults_M,total_defaults_F,cumulative_profit,approval_rate_M_cumulative,approval_rate_F_cumulative,success_prob_M_cumulative,success_prob_F_cumulative,actual_approvals_M_episode,actual_approvals_F_episode,true_approvals_M_episode,true_approvals_F_episode,true_positive_M,false_positive_M,true_negative_M,false_negative_M,true_positive_F,false_positive_F,true_negative_F,false_negative_F,accuracy_M,accuracy_F,precision_M,precision_F,recall_M,recall_F,hawkes_events_M,hawkes_events_F,total_profit,cumulative_time,approval_rate_M,approval_rate_F,success_prob_M,success_prob_F
1,0.0,99.5,1105,60.81565575819663,61.67422548994446,48.29054967454462,49.011668808101966,0.8585697317478349,0.7211191335573446,1.1906073376703157,0.008585697317478349,0.007211191335573446,0.007898444326525898,12.662556681842496,329,251,604,501,25,18,928.3259423907054,0.5447019867549668,0.500998003992016,0.9240121580547113,0.9282868525896414,329,251,604,501,25,18,928.3259423907054,0.5447019867549668,0.500998003992016,0.9240121580547113,0.9282868525896414,329,251,604,501,304,25,0,275,233,18,0,250,0.5033112582781457,0.46506986027944114,0.9240121580547113,0.9282868525896414,0.5250431778929189,0.4824016563146998,329,251,928.3259423907054,100.0,0.5447019867549668,0.500998003992016,0.9240121580547113,0.9282868525896414
2,0.0,99.5,1115,60.81565575819663,61.45536818557487,48.29054967454462,48.8835781055755,0.6397124273782424,0.5930284310308807,1.0787213460680283,0.003198562136891212,0.0029651421551544033,0.003081852146022808,12.571790079999367,266,226,605,510,26,14,846.7948897808757,0.4396694214876033,0.44313725490196076,0.9022556390977443,0.9380530973451328,595,477,1209,1011,51,32,1775.1208321715812,0.4921422663358147,0.47181008902077154,0.9142857142857143,0.9329140461215932,266,226,605,510,240,26,0,339,212,14,0,284,0.39669421487603307,0.41568627450980394,0.9022556390977443,0.9380530973451328,0.41450777202072536,0.4274193548387097,266,226,846.7948897808757,200.0,0.4921422663358147,0.47181008902077154,0.9142857142857143,0.9329140461215932
3,0.0,99.5,1082,60.81565575819663,61.36982131148538,48.29054967454462,48.8502371101619,0.5541655532887546,0.5596874356172776,0.9901339891212084,0.0018472185109625154,0.0018656247853909254,0.0018564216481767204,12.519584201323482,218,197,587,495,15,16,694.5840941953368,0.37137989778534924,0.397979797979798,0.9311926605504587,0.9187817258883249,813,674,1796,1506,66,48,2469.704926366918,0.4526726057906459,0.44754316069057104,0.9188191881918819,0.9287833827893175,218,197,587,495,203,15,0,369,181,16,0,298,0.34582623509369675,0.3656565656565657,0.9311926605504587,0.9187817258883249,0.3548951048951049,0.3778705636743215,218,197,694.5840941953368,300.0,0.4526726057906459,0.44754316069057104,0.9188191881918819,0.9287833827893175
4,0.0,99.5,1108,60.81565575819663,61.465442670906484,48.29054967454462,48.705044989801785,0.6497869127098568,0.4144953152571631,1.5676580380811131,0.001624467281774642,0.0010362382881429078,0.001330352784958775,12.760397681104699,234,201,603,505,26,16,668.0052195287525,0.3880597014925373,0.39801980198019804,0.8888888888888888,0.9203980099502488,1047,875,2399,2011,92,64,3137.7101458956704,0.43643184660275114,0.4351069119840875,0.9121298949379179,0.9268571428571428,234,201,603,505,208,26,0,369,185,16,0,304,0.3449419568822554,0.36633663366336633,0.8888888888888888,0.9203980099502488,0.36048526863084923,0.3783231083844581,234,201,668.0052195287525,400.0,0.43643184660275114,0.4351069119840875,0.9121298949379179,0.9268571428571428
5,0.0,99.5,1052,60.81565575819663,61.44555637706564,48.29054967454462,48.753373021390345,0.6299006188690157,0.4628233468457239,1.3609957733592573,0.0012598012377380314,0.0009256466936914478,0.0010927239657147396,12.692183355675297,217,170,606,446,13,11,610.4374582288273,0.3580858085808581,0.3811659192825112,0.9400921658986175,0.9352941176470588,1264,1045,3005,2457,105,75,3748.147604124498,0.4206322795341098,0.4253154253154253,0.9169303797468354,0.9282296650717703,217,170,606,446,204,13,0,389,159,11,0,276,0.33663366336633666,0.35650224215246634,0.9400921658986175,0.9352941176470588,0.3440134907251265,0.36551724137931035,217,170,610.4374582288273,500.0,0.4206322795341098,0.4253154253154253,0.9169303797468354,0.9282296650717703
6,0.0,99.5,1136,60.81565575819663,61.55100005937808,48.29054967454462,48.77076899972407,0.7353443011814562,0.48021932517944776,1.5312676159100296,0.001225573835302427,0.0008003655419657463,0.0010129696886340867,12.780231059654014,274,201,655,481,21,18,756.6584967701542,0.4183206106870229,0.4178794178794179,0.9233576642335767,0.9104477611940298,1538,1246,3660,2938,126,93,4504.8061008946515,0.4202185792349727,0.4240980258679374,0.918075422626788,0.9253611556982344,274,201,655,481,253,21,0,381,183,18,0,280,0.38625954198473283,0.3804573804573805,0.9233576642335767,0.9104477611940298,0.3990536277602524,0.3952483801295896,274,201,756.6584967701542,600.0,0.4202185792349727,0.4240980258679374,0.918075422626788,0.9253611556982344
7,0.0,99.5,1063,60.81565575819663,61.43193662017219,48.29054967454462,48.83299146385007,0.6162808619755609,0.5424417893054496,1.1361234958771445,0.0008804012313936584,0.000774916841864928,0.0008276590366292933,12.598945156322117,230,224,572,491,17,19,685.3194671336449,0.4020979020979021,0.45621181262729127,0.9260869565217391,0.9151785714285714,1768,1470,4232,3429,143,112,5190.125568028297,0.41776937618147447,0.42869641294838146,0.9191176470588235,0.9238095238095239,230,224,572,491,213,17,0,342,205,19,0,267,0.3723776223776224,0.4175152749490835,0.9260869565217391,0.9151785714285714,0.3837837837837838,0.4343220338983051,230,224,685.3194671336449,700.0,0.41776937618147447,0.42869641294838146,0.9191176470588235,0.9238095238095239
8,0.0,99.5,1095,60.81565575819663,61.47419204621323,48.29054967454462,48.904275886752174,0.6585362880166059,0.6137262122075526,1.0730131366686668,0.0008231703600207574,0.0007671577652594408,0.0007951640626400991,12.569916159461059,249,217,598,497,20,19,725.8470411858016,0.41638795986622074,0.43661971830985913,0.9196787148594378,0.9124423963133641,2017,1687,4830,3926,163,131,5915.972609214098,0.4175983436853002,0.42969943963321444,0.9191869112543382,0.9223473621813871,249,217,598,497,229,20,0,349,198,19,0,280,0.38294314381270905,0.3983903420523139,0.9196787148594378,0.9124423963133641,0.3961937716262976,0.41422594142259417,249,217,725.8470411858016,800.0,0.4175983436853002,0.42969943963321444,0.9191869112543382,0.9223473621813871
9,0.0,99.5,1128,60.81565575819663,61.521698991591926,48.29054967454462,48.874451128704486,0.7060432333952988,0.5839014541598644,1.2091821802553582,0.0007844924815503321,0.0006487793935109604,0.0007166359375306462,12.64724786288744,243,249,615,513,22,17,774.3479023124778,0.3951219512195122,0.4853801169590643,0.9094650205761317,0.9317269076305221,2260,1936,5445,4439,185,148,6690.3205115265755,0.4150596877869605,0.4361342644739806,0.918141592920354,0.9235537190082644,243,249,615,513,221,22,0,372,232,17,0,264,0.359349593495935,0.4522417153996101,0.9094650205761317,0.9317269076305221,0.37268128161888703,0.46774193548387094,243,249,774.3479023124778,900.0,0.4150596877869605,0.4361342644739806,0.918141592920354,0.9235537190082644
10,0.0,99.5,1156,60.81565575819663,61.56616487382974,48.29054967454462,48.89327481329016,0.7505091156331147,0.6027251387455408,1.245192986632611,0.0007505091156331147,0.0006027251387455408,0.0006766171271893278,12.67289006053958,298,230,656,500,27,21,825.138889592424,0.45426829268292684,0.46,0.9093959731543624,0.908695652173913,2558,2166,6101,4939,212,169,7515.459401118999,0.41927552860186856,0.4385503138287103,0.9171227521501173,0.9219759926131117,298,230,656,500,271,27,0,358,209,21,0,270,0.41310975609756095,0.418,0.9093959731543624,0.908695652173913,0.43084260731319557,0.4363256784968685,298,230,825.138889592424,1000.0,0.41927552860186856,0.4385503138287103,0.9171227521501173,0.9219759926131117
